,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
ADM,1,1,0,0,0,0,1,1,1,2,2,0,0,2,1,1,3,3,3,4,3,3,4,3,3,3,4,4,3,3,3,3,5,4,3,2,2,2,2,3,4,4,4,2,1,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0
ADP,1,2,2,2,2,2,3,5,6,7,7,7,10,7,6,4,4,5,5,4,3,3,5,4,4,5,6,7,7,6,6,8,7,5,4,6,6,8,6,7,7,6,4,4,3,2,3,3,2,3,3,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ADSK,1,0,0,0,0,0,0,1,1,0,0,0,0,1,4,5,6,5,8,8,8,9,9,8,8,5,4,4,4,3,3,3,3,2,2,2,3,3,2,2,2,3,4,4,4,4,3,3,5,5,5,4,4,3,3,3,2,1,2,2,1,1,1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AEE,1,1,2,2,2,2,3,3,6,3,5,5,5,7,10,10,11,11,10,10,7,6,4,5,5,7,7,6,7,6,6,5,4,2,2,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
AEP,1,1,1,1,1,1,2,1,4,5,6,8,8,7,7,7,7,3,2,5,5,5,9,7,6,8,6,6,6,4,5,4,7,6,7,5,5,6,6,5,5,5,4,3,3,3,3,1,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
AES,1,1,1,0,1,1,1,3,3,4,4,5,5,5,4,5,7,8,9,9,8,8,9,11,12,12,9,9,5,5,4,3,3,3,3,4,4,3,3,2,2,1,1,1,1,2,1,2,1,1,1,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
AFL,1,1,2,3,1,2,1,4,3,2,4,4,4,3,5,5,6,5,3,3,4,6,5,6,6,5,4,4,3,3,4,5,5,5,4,4,2,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIG,1,0,1,1,1,1,2,3,3,2,4,3,4,5,4,3,2,5,5,6,7,8,5,6,5,5,5,5,4,4,3,4,4,1,3,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,3,3,3,4,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
AIZ,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,3,4,5,5,7,7,7,4,5,6,5,4,3,2,2,3,3,3,3,3,5,5,5,6,5,5,5,5,5,6,6,5,6,7,6,8,5,4,4,2,1,1,1,1,2,1,1,2,2,3,3,5,4,4,4,4,3,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AJG,1,2,2,0,0,0,0,1,1,1,1,1,1,2,2,2,3,4,5,6,5,5,5,5,6,5,9,8,5,7,8,7,6,5,5,4,4,4,4,3,3,3,1,1,3,2,1,1,1,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AKAM,1,1,1,1,1,1,2,3,3,6,7,7,6,6,10,9,8,8,8,9,7,9,8,8,6,8,8,8,8,8,8,8,9,5,4,2,1,1,1,1,2,3,3,4,3,3,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALB,1,1,1,1,2,2,2,1,0,0,0,1,1,2,2,2,2,4,4,7,6,4,6,6,6,5,4,4,5,4,4,4,4,4,5,6,6,6,4,4,4,4,2,2,3,2,3,3,3,4,4,3,3,4,5,5,5,4,4,4,3,2,2,3,4,4,4,4,4,6,6,7,7,7,7,7,7,6,6,4,3,3,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0
ALGN,1,2,2,3,3,4,5,5,6,5,3,3,3,4,6,7,8,8,7,7,5,5,3,3,2,2,2,2,4,5,4,3,3,3,3,3,4,4,4,4,3,2,1,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,3,6,6,5,5,4,4,3,3,3,4,3,6,6,6,6,5,5,3,3,4,4,4,4,4,4,3,3,4,3,3,2,2,2,1,1,1,1,0
ALK,1,3,1,1,2,3,2,0,1,2,3,4,4,5,5,4,5,5,6,3,2,3,5,3,4,5,4,6,5,4,5,5,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
ALL,1,1,1,1,0,0,0,0,1,1,1,2,1,1,2,3,4,6,8,7,7,5,5,6,6,5,7,11,10,10,8,10,11,11,6,4,4,3,3,4,4,4,3,3,3,3,3,3,3,2,2,3,4,3,2,2,2,2,1,2,1,2,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
ALLE,1,1,2,2,3,3,4,4,5,6,6,10,11,11,13,11,12,13,12,11,12,13,13,12,13,15,13,13,11,12,13,10,10,9,9,9,11,10,9,9,6,6,6,6,5,6,6,6,6,4,3,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,1,1,1,2,2,2,2,2,4,4,4,2,2,2,3,3,3,2,2,2,1,1,1,1,1,1,0
AMAT,1,1,2,3,5,5,6,7,9,10,10,8,7,5,4,5,5,5,5,5,5,5,4,4,5,7,9,8,7,6,5,5,6,6,5,5,3,3,3,3,3,3,4,4,5,5,4,4,4,4,4,3,3,3,3,3,4,4,4,4,5,4,4,4,4,2,2,1,1,1,1,1,1,1,2,3,3,2,2,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
AMCR,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,4,4,3,3,3,3,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,2,2,2,2,2,2,2,1,1,0
AMD,1,2,5,5,5,6,5,4,4,4,3,4,3,4,5,2,3,4,6,5,5,5,4,5,3,4,4,4,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
AME,1,2,2,4,7,8,8,8,9,10,8,7,6,4,5,4,4,4,3,3,3,3,4,2,0,0,1,1,4,3,3,3,3,3,3,3,3,4,4,5,6,7,8,8,8,7,7,5,5,5,6,6,6,6,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AMGN,1,1,0,0,0,1,1,2,1,1,2,5,7,7,7,9,9,10,8,7,7,6,7,8,7,8,9,8,7,5,6,5,7,5,5,6,4,4,4,2,4,5,6,6,6,6,3,3,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
AMP,1,1,1,1,0,0,1,1,2,2,2,3,5,5,6,7,8,8,7,8,8,6,6,6,6,7,7,8,7,4,3,3,4,4,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMT,1,1,1,1,3,3,3,4,4,4,6,8,7,7,7,6,6,6,5,4,4,5,3,2,2,1,1,1,2,2,2,3,3,4,4,3,3,2,2,1,1,1,1,1,1,1,3,3,2,1,1,2,3,2,2,1,2,2,2,1,2,2,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,4,4,4,3,3,2,2,0
AMZN,1,1,1,0,2,1,1,4,6,6,4,4,5,5,5,4,5,6,3,4,4,4,3,4,6,4,3,4,3,4,5,4,3,1,1,1,2,2,2,1,2,3,3,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ANET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,2,2,4,5,6,6,6,6,6,7,6,8,7,6,5,6,6,8,9,10,9,9,7,6,5,3,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ANSS,1,1,2,2,4,5,5,7,4,5,2,5,5,9,11,10,12,11,10,8,7,7,7,5,7,4,4,3,1,0,1,1,1,0,0,1,1,1,2,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ANTM,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,3,5,7,8,9,9,9,9,9,10,11,12,13,12,12,14,12,10,10,9,9,10,9,8,8,6,4,4,5,4,4,4,4,5,6,6,7,4,5,4,5,5,4,4,5,5,6,6,7,7,7,6,6,4,3,2,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
AON,1,1,1,1,2,2,3,4,5,5,5,5,5,4,3,4,5,6,6,7,6,5,6,5,5,5,7,6,7,8,8,8,8,8,7,6,6,5,5,4,4,4,3,3,2,3,4,5,5,5,4,5,5,5,5,4,5,4,3,2,2,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3,3,3,3,3,3,3,1,0
AOS,1,1,1,2,4,5,5,7,5,4,4,5,6,6,6,5,7,9,10,10,12,12,12,13,16,15,10,11,9,7,4,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,1,1,0,0,0,0,0,0,0,2,2,3,4,4,4,4,4,4,3,5,4,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
APA,1,2,2,2,3,3,3,2,3,3,3,3,3,3,4,4,4,6,6,4,5,6,7,7,6,7,5,3,3,3,3,3,5,5,6,6,6,6,5,6,7,6,6,5,6,6,6,6,6,6,5,5,5,6,6,6,5,4,6,7,5,3,3,2,3,2,1,1,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,4,4,5,4,4,4,4,4,4,1,0,0,2,2,1,1,0
APD,1,1,1,2,3,3,4,4,4,3,4,6,6,5,4,5,5,5,5,4,4,4,3,2,3,3,4,3,3,3,3,5,2,2,2,1,1,2,3,3,2,3,3,4,4,4,4,3,3,3,3,4,3,3,4,4,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH,1,2,3,3,2,2,4,4,4,4,6,5,5,6,6,6,4,4,1,2,8,8,8,7,7,7,9,8,8,7,8,9,9,7,5,2,1,2,3,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,3,4,3,3,3,2,3,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
APTV,1,1,1,2,1,1,1,2,2,2,2,2,2,3,2,4,6,5,5,6,6,5,2,4,5,4,3,4,6,6,5,3,2,1,2,2,2,3,3,4,6,6,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,1,1,1,1,0
ARE,1,1,3,3,3,3,3,6,6,4,3,2,3,4,5,6,8,7,6,6,6,7,6,4,4,4,4,2,4,5,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATO,1,1,2,2,2,2,2,2,2,4,5,4,5,5,6,8,7,6,7,8,9,8,9,6,7,7,9,10,8,5,4,4,5,3,3,2,3,3,3,3,3,2,2,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0
ATVI,1,1,0,2,3,2,3,4,5,4,3,2,4,9,10,8,10,9,9,7,7,6,5,6,6,5,4,4,2,0,2,3,3,2,1,2,1,1,3,1,3,3,3,4,6,7,8,5,4,4,3,4,4,4,5,5,5,4,3,2,2,2,2,2,2,2,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,1,0
AVB,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,2,3,2,2,2,2,2,2,5,4,6,6,8,6,7,7,13,15,16,14,13,13,11,11,9,6,5,5,5,4,4,3,2,3,3,3,3,4,3,4,2,3,3,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
AVGO,1,2,2,3,2,3,3,5,5,5,6,7,10,7,6,7,6,4,4,5,6,7,6,7,7,7,8,8,6,6,6,4,4,5,5,6,6,6,6,6,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,1,1,1,1,2,2,2,2,1,1,1,0
AVY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,6,7,5,5,7,10,10,9,9,8,7,6,7,7,8,6,5,3,4,4,5,7,7,7,6,6,8,6,5,5,4,3,2,2,3,4,4,3,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,0
AWK,1,2,5,6,5,4,4,3,1,4,5,5,6,4,5,6,6,8,9,5,6,6,6,4,4,4,3,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AXP,1,2,2,4,5,6,6,5,8,9,10,10,10,9,9,8,8,7,10,9,7,9,9,7,6,6,6,5,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AZO,1,1,1,1,1,1,1,0,0,1,1,1,1,2,3,4,4,5,3,3,5,5,5,6,7,6,6,6,6,4,4,4,7,7,7,8,7,8,7,7,8,7,9,8,5,6,7,8,8,9,8,8,8,8,7,7,4,3,3,4,4,3,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,4,4,4,3,3,1,0
BA,1,1,2,3,5,5,5,6,6,6,5,6,10,10,11,9,9,11,11,12,10,11,8,9,8,11,11,10,9,8,5,5,5,5,4,5,3,3,2,2,3,3,4,3,3,3,3,2,2,2,3,3,3,4,3,3,4,3,3,3,3,2,2,1,1,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
BAC,1,2,3,3,3,2,2,2,2,1,1,1,2,3,4,4,5,5,4,5,4,5,5,3,4,4,2,4,3,3,2,2,2,2,1,1,1,1,1,1,4,3,4,5,5,5,2,2,2,2,2,3,3,4,5,4,2,3,3,4,4,3,3,2,2,2,1,1,2,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BAX,1,1,0,0,0,0,0,0,1,2,2,3,4,5,8,9,10,10,8,8,6,6,5,8,8,7,8,7,5,4,4,3,4,4,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,3,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
BBWI,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,5,5,5,6,7,6,6,6,6,6,6,5,5,5,5,7,2,3,4,4,5,2,2,3,3,3,3,4,2,3,3,2,2,1,1,1,1,0,0,0,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,0,1,1,1,1,1,1,1,1,0
BBY,1,1,1,1,2,1,1,4,3,1,1,3,2,3,7,9,10,8,6,6,3,4,4,3,4,2,2,2,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
BDX,1,3,4,6,8,6,7,7,7,7,4,7,8,7,5,6,3,3,2,3,5,5,4,4,4,8,8,3,3,3,4,3,3,4,3,4,4,3,4,3,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BEN,1,1,2,2,3,3,4,5,5,4,5,4,3,6,7,6,6,6,7,7,6,7,7,8,8,7,6,6,7,6,10,10,10,10,8,6,5,5,7,8,9,13,13,11,9,8,8,7,6,4,3,2,2,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
BIIB,1,1,1,1,1,0,0,0,0,0,1,2,2,3,4,4,4,3,4,8,8,8,10,12,13,13,14,13,8,9,8,8,9,6,7,7,6,7,9,8,8,6,3,2,3,4,3,3,2,2,2,2,1,1,2,3,3,3,3,2,2,4,4,4,4,4,3,3,4,4,3,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
BIO,1,1,2,4,4,3,4,4,3,4,5,7,9,8,6,5,7,7,7,6,5,8,8,8,9,8,7,5,5,4,4,4,3,3,4,4,3,4,5,4,5,4,4,4,3,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
BK,1,1,1,1,1,2,2,2,3,1,4,3,5,5,5,5,5,5,6,5,6,5,6,9,9,6,6,4,4,3,2,2,0,2,1,1,2,1,1,1,1,1,2,3,2,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,0
BKNG,1,1,1,1,2,2,1,2,2,3,3,4,4,6,6,5,7,8,8,5,3,3,2,3,3,3,4,4,3,3,3,4,2,3,2,2,3,4,5,5,5,3,3,2,1,2,3,2,2,2,2,3,3,2,2,2,1,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
BKR,1,1,1,1,1,2,3,4,3,3,2,3,3,3,4,4,3,5,5,5,4,5,8,10,11,12,14,15,17,17,16,15,17,16,15,12,9,8,6,5,5,5,5,3,3,2,2,2,2,1,1,1,1,1,1,1,2,2,3,1,1,1,1,2,3,3,2,2,2,2,1,3,3,3,3,2,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,0
BLK,1,1,1,1,1,1,1,1,2,3,2,1,4,4,5,4,5,4,3,4,4,5,5,4,3,4,4,4,3,4,4,3,3,3,3,5,5,4,3,4,4,3,4,4,4,5,7,7,9,8,7,6,6,3,3,3,4,2,1,1,1,1,1,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
BLL,1,3,4,5,6,7,9,9,4,3,3,6,5,7,8,9,9,11,7,8,5,5,3,3,3,2,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
